Codigo Centro Poblado,Nombre centro poblado,Aeropuerto,Distancia(Km),Cobertura,Aerodromo,D_Aerodromo,Regional,D_Regional,Nacional,D_Nacional,Internacional,D_Internacional,Tipo_Cobertura
5044001,GUINTAR,URR,20.61209742,True,FRO,51.21994519,URR,20.61209742,EOH,41.43294623,MDE,60.88468241,Regional
5044005,LA CEJITA,URR,25.40907885,True,FRO,51.08247152,URR,25.40907885,EOH,37.35603351,MDE,56.87746219,Nacional
5044006,LA HIGUINA,URR,32.30348882,True,FRO,51.15945089,URR,32.30348882,EOH,33.16302125,MDE,52.45773904,Nacional
5045000,APARTADÓ,LPL,5.893434145,True,LPL,5.893434145,ACD,98.68584922,APO,12.75393828,MDE,232.7147884,Nacional
5045001,SAN JOSÉ DE APARTADÓ,LPL,10.67528722,True,LPL,10.67528722,ACD,103.8216706,APO,18.75366481,MDE,228.8244812,Nacional
5045002,CHURIDÓ,LPL,4.274717604,True,LPL,4.274717604,ACD,96.84378512,APO,7.866024486,MDE,233.7492546,Nacional
5045003,ZUNGO CARRETERA,LPL,1.210565813,True,LPL,1.210565813,ACD,101.6579206,APO,7.546371207,MDE,228.7931612,Nacional
5045007,LOS NARANJALES,APO,0.906253016,True,LAO,6.866503502,ACD,97.39117389,APO,0.906253016,MDE,232.6695736,Nacional
5045008,VIJAGUAL,LAO,2.147830254,True,LAO,2.147830254,ACD,103.7655778,APO,6.831947522,MDE,226.4142929,Nacional
5045009,EL REPOSO,LAO,1.00920195,True,LAO,1.00920195,ACD,103.3088004,APO,7.026045358,MDE,226.9444642,Nacional
5045010,BAJO DEL OSO,LPL,8.739584211,True,LPL,8.739584211,ACD,96.71371045,APO,14.83476057,MDE,235.1105859,Nacional
5045011,EL SALVADOR,LPL,4.874832756,True,LPL,4.874832756,ACD,97.3376239,APO,10.45207222,MDE,233.640827,Nacional
5045014,PUERTO GIRÓN,INA,6.177336719,True,INA,6.177336719,ACD,88.39082527,APO,10.68036353,MDE,241.8928266,Nacional
5045015,LOMA VERDE,LPL,1.128977934,True,LPL,1.128977934,ACD,102.0374821,APO,8.132636209,MDE,228.4663972,Nacional
