id_centro_poblado,nombre_centro_poblado,municipio,departamento
5148006,CAMPO ALEGRE,EL CARMEN DE VIBORAL,ANTIOQUIA
5148008,LA AURORA - LAS BRISAS,EL CARMEN DE VIBORAL,ANTIOQUIA
5150000,CAROLINA DEL PRÍNCIPE,CAROLINA,ANTIOQUIA
5154000,CAUCASIA,CAUCASIA,ANTIOQUIA
5154003,CUTURÚ,CAUCASIA,ANTIOQUIA
5154006,MARGENTO,CAUCASIA,ANTIOQUIA
5154008,PALANCA,CAUCASIA,ANTIOQUIA
5154009,PALOMAR,CAUCASIA,ANTIOQUIA
5154012,SANTA ROSITA,CAUCASIA,ANTIOQUIA
5154020,PUERTO TRIANA,CAUCASIA,ANTIOQUIA
5154022,LA ILUSIÓN,CAUCASIA,ANTIOQUIA
5154023,CACERÍ,CAUCASIA,ANTIOQUIA
5154024,EL PANDO,CAUCASIA,ANTIOQUIA
5154025,CAMPO ALEGRE,CAUCASIA,ANTIOQUIA
5154026,EL CHINO,CAUCASIA,ANTIOQUIA
5154027,LA ESMERALDA,CAUCASIA,ANTIOQUIA
5154031,VILLA DEL SOCORRO,CAUCASIA,ANTIOQUIA
5154032,CASERÍO CONJUNTO CAÑA FISTULA,CAUCASIA,ANTIOQUIA
5154033,PUEBLO NUEVO,CAUCASIA,ANTIOQUIA
5172000,CHIGORODÓ,CHIGORODÓ,ANTIOQUIA
5172003,BARRANQUILLITA,CHIGORODÓ,ANTIOQUIA
5172007,GUAPÁ CARRETERAS,CHIGORODÓ,ANTIOQUIA
5172013,JURADÓ,CHIGORODÓ,ANTIOQUIA
5172014,CAMPITAS,CHIGORODÓ,ANTIOQUIA
5172015,CHAMPITA SECTOR LA GRANJA,CHIGORODÓ,ANTIOQUIA
5190000,CISNEROS,CISNEROS,ANTIOQUIA
5197000,COCORNÁ,COCORNÁ,ANTIOQUIA
5197005,LA PIÑUELA,COCORNÁ,ANTIOQUIA
5197013,EL MOLINO,COCORNÁ,ANTIOQUIA
5206000,CONCEPCIÓN,CONCEPCIÓN,ANTIOQUIA
5209000,CONCORDIA,CONCORDIA,ANTIOQUIA
5209001,EL SOCORRO,CONCORDIA,ANTIOQUIA
5209006,EL GOLPE,CONCORDIA,ANTIOQUIA
5209007,SALAZAR,CONCORDIA,ANTIOQUIA
5212000,COPACABANA,COPACABANA,ANTIOQUIA
5212005,EL SALADO,COPACABANA,ANTIOQUIA
5212008,CABUYAL,COPACABANA,ANTIOQUIA
5212017,EL LLANO,COPACABANA,ANTIOQUIA
5234000,DABEIBA,DABEIBA,ANTIOQUIA
5234004,SAN JOSÉ DE URAMA,DABEIBA,ANTIOQUIA
5234008,ARMENIA - CAMPARRUSIA,DABEIBA,ANTIOQUIA
5234010,LAS CRUCES DE URAMA,DABEIBA,ANTIOQUIA
5234012,CHIMIADÓ LLANO GRANDE,DABEIBA,ANTIOQUIA
5234014,EL BOTÓN,DABEIBA,ANTIOQUIA
5234017,BETANIA PUENTE NUEVO,DABEIBA,ANTIOQUIA
5234018,CARA COLÓN,DABEIBA,ANTIOQUIA
5234019,LA BALSITA,DABEIBA,ANTIOQUIA
5237000,DONMATÍAS,DONMATÍAS,ANTIOQUIA
5237001,BELLAVISTA,DONMATÍAS,ANTIOQUIA
5237003,ARENALES,DONMATÍAS,ANTIOQUIA
5237004,MONTERA,DONMATÍAS,ANTIOQUIA
5237005,PRADERA,DONMATÍAS,ANTIOQUIA
5240000,EBÉJICO,EBÉJICO,ANTIOQUIA
5240001,BRASIL,EBÉJICO,ANTIOQUIA
5240003,SEVILLA,EBÉJICO,ANTIOQUIA
5240008,EL ZARZAL,EBÉJICO,ANTIOQUIA
5240011,LA CLARA,EBÉJICO,ANTIOQUIA
5240012,FATIMA,EBÉJICO,ANTIOQUIA
5250000,EL BAGRE,EL BAGRE,ANTIOQUIA
5250002,PUERTO CLAVER,EL BAGRE,ANTIOQUIA
5250004,PUERTO LÓPEZ,EL BAGRE,ANTIOQUIA
5250005,EL REAL,EL BAGRE,ANTIOQUIA
5250006,LA CORONA,EL BAGRE,ANTIOQUIA
5250007,LAS NEGRITAS,EL BAGRE,ANTIOQUIA
5250008,LAS SARDINAS EL PUENTE,EL BAGRE,ANTIOQUIA
5250009,SANTA BÁRBARA,EL BAGRE,ANTIOQUIA
5250010,MUQUI,EL BAGRE,ANTIOQUIA
5250011,BORRACHERA,EL BAGRE,ANTIOQUIA
5250012,CAÑO CLARO,EL BAGRE,ANTIOQUIA
5250013,LOS ALMENDROS,EL BAGRE,ANTIOQUIA
5264000,ENTRERRÍOS,ENTRERRÍOS,ANTIOQUIA
5266000,ENVIGADO,ENVIGADO,ANTIOQUIA
5266001,LAS PALMAS,ENVIGADO,ANTIOQUIA
5266005,EL CRISTO,ENVIGADO,ANTIOQUIA
