id,id_fecha,id_centro_poblado,id_aeropuerto,id_categoria,id_tipo_cobertura,distancia
4646,4702,19212008,776,N,A,87.26880166
4647,4702,19212009,674,I,I,37.28282022
4648,4702,19212009,776,N,I,93.18315877
4649,4702,19212010,674,I,A,46.34877853
4650,4702,19212010,776,N,A,91.12487163
4651,4702,19256000,674,I,N,130.4096772
4652,4702,19256000,776,N,N,22.31772795
4653,4702,19256000,782,R,N,104.1943169
4654,4702,19256001,674,I,N,133.6207514
4655,4702,19256001,776,N,N,26.94675234
4656,4702,19256001,782,R,N,106.7859237
4657,4702,19256004,674,I,N,136.8689965
4658,4702,19256004,776,N,N,26.18207368
4659,4702,19256004,782,R,N,103.2355966
4660,4702,19256005,674,I,N,131.5655703
4661,4702,19256005,776,N,N,30.37514407
4662,4702,19256005,782,R,N,111.8144769
4663,4702,19256007,674,I,N,132.8653947
4664,4702,19256007,776,N,N,19.46518492
4665,4702,19256007,782,R,N,99.2030094
4666,4702,19256009,674,I,N,127.1094277
4667,4702,19256009,776,N,N,13.544602
4668,4702,19256009,782,R,N,97.82397497
4669,4702,19256012,674,I,S,137.8460032
4670,4702,19256012,710,R,S,92.88485005
4671,4702,19256012,776,N,S,50.81445677
4672,4702,19256013,674,I,N,153.3750179
4673,4702,19256013,776,N,N,38.37327233
4674,4702,19256013,782,R,N,100.9490473
4675,4702,19256014,674,I,N,139.2175408
4676,4702,19256014,710,R,N,105.2925156
4677,4702,19256014,776,N,N,38.99684121
4678,4702,19256015,674,I,N,122.3547911
4679,4702,19256015,776,N,N,22.28510003
4680,4702,19256015,782,R,N,108.456936
4681,4702,19256016,674,I,S,131.7947377
4682,4702,19256016,710,R,S,99.26468885
4683,4702,19256016,776,N,S,44.80243831
4684,4702,19256019,674,I,N,135.3596028
4685,4702,19256019,776,N,N,31.79723556
4686,4702,19256019,782,R,N,110.8673057
4687,4702,19256020,674,I,N,130.6408367
4688,4702,19256020,776,N,N,18.0549186
4689,4702,19256020,782,R,N,99.61369797
4690,4702,19256022,674,I,N,146.0345081
4691,4702,19256022,776,N,N,31.95564398
4692,4702,19256022,782,R,N,100.852374
4693,4702,19256025,674,I,N,133.8795807
4694,4702,19256025,776,N,N,16.71165697
4695,4702,19256025,782,R,N,94.9730913
4696,4702,19256027,674,I,N,115.6021055
4697,4702,19256027,776,N,N,24.54182156
4698,4702,19256027,782,R,N,112.4234163
4699,4702,19256028,674,I,N,121.9823164
4700,4702,19256028,776,N,N,29.2579667
4701,4702,19256028,782,R,N,115.1997352
4702,4702,19256029,674,I,N,131.7662626
4703,4702,19256029,710,R,N,108.7842261
4704,4702,19256029,776,N,N,34.89412573
4705,4702,19256031,674,I,A,141.8381024
4706,4702,19256031,710,R,A,103.8276017
4707,4702,19256031,776,N,A,40.96530695
4708,4702,19256032,674,I,N,129.0239701
4709,4702,19256032,776,N,N,27.10111524
4710,4702,19256032,782,R,N,109.9278359
4711,4702,19256033,674,I,N,147.0349899
4712,4702,19256033,776,N,N,35.35212416
4713,4702,19256033,782,R,N,104.6275931
4714,4702,19256034,674,I,N,143.3447437
4715,4702,19256034,776,N,N,31.03012079
4716,4702,19256034,782,R,N,102.7814246
4717,4702,19256036,674,I,S,131.7947377
4718,4702,19256036,710,R,S,99.26468885
4719,4702,19256036,776,N,S,44.80243831
4720,4702,19256058,674,I,N,131.9373391
4721,4702,19256058,776,N,N,31.15793781
4722,4702,19256058,782,R,N,112.4138227
4723,4702,19256059,674,I,N,132.7545077
4724,4702,19256059,776,N,N,30.08071352
4725,4702,19256059,782,R,N,110.760943
4726,4702,19256060,674,I,N,112.7073692
4727,4702,19256060,710,R,N,117.4969008
4728,4702,19256060,776,N,N,33.08595822
4729,4702,19256061,674,I,N,131.2382926
4730,4702,19256061,710,R,N,112.20153
4731,4702,19256061,776,N,N,31.46946072
4732,4702,19256062,674,I,N,141.691588
4733,4702,19256062,776,N,N,28.5895797
4734,4702,19256062,782,R,N,101.3300377
4735,4702,19290000,725,I,S,112.9795985
4736,4702,19290000,779,N,S,40.02380977
4737,4702,19290000,836,R,S,93.87966404
4738,4702,19290001,725,I,S,116.1539214
4739,4702,19290001,779,N,S,43.18890432
4740,4702,19290001,836,R,S,97.02722475
4741,4702,19290002,725,I,S,117.0610865
4742,4702,19290002,779,N,S,44.0915478
4743,4702,19290002,836,R,S,96.46921399
4744,4702,19300000,674,I,A,45.4877023
4745,4702,19300000,776,N,A,79.37958704
4746,4702,19300004,450,A,A,5.124947455
4747,4702,19300004,674,I,A,41.49470147
4748,4702,19300004,776,N,A,82.41558279
4749,4702,19300005,674,I,A,44.98009734
4750,4702,19300005,776,N,A,80.16106203
4751,4702,19300006,450,A,A,5.93391968
4752,4702,19300006,674,I,A,40.18787559
4753,4702,19300006,776,N,A,83.75522939
4754,4702,19300007,450,A,A,5.232014139
4755,4702,19300007,674,I,A,40.72285357
4756,4702,19300007,776,N,A,83.16039867
4757,4702,19300008,674,I,A,50.49194553
4758,4702,19300008,776,N,A,74.1050541
4759,4702,19300009,450,A,I,7.623823173
4760,4702,19300009,674,I,I,39.79442848
4761,4702,19300009,776,N,I,84.41640329
4762,4702,19300010,450,A,I,7.118848982
4763,4702,19300010,674,I,I,39.91972857
4764,4702,19300010,776,N,I,84.20225673
4765,4702,19300011,450,A,A,7.06576995
4766,4702,19300011,674,I,A,40.55118444
4767,4702,19300011,776,N,A,83.61322201
4768,4702,19300012,674,I,A,41.78153984
4769,4702,19300012,776,N,A,83.21426512
4770,4702,19300013,674,I,A,42.10651121
4771,4702,19300013,776,N,A,82.67013658
4772,4702,19300014,674,I,A,49.32402391
4773,4702,19300014,776,N,A,75.39461732
4774,4702,19300015,674,I,A,45.3024352
4775,4702,19300015,776,N,A,80.43555718
4776,4702,19300016,674,I,A,43.64969503
4777,4702,19300016,776,N,A,81.80064042
4778,4702,19300017,450,A,I,6.82908704
4779,4702,19300017,674,I,I,38.18101643
4780,4702,19300017,776,N,I,85.70191387
4781,4702,19300018,674,I,I,39.81526278
4782,4702,19300018,776,N,I,85.1371518
4783,4702,19300019,674,I,A,40.72510131
4784,4702,19300019,776,N,A,84.22745957
4785,4702,19300020,674,I,A,44.05804081
4786,4702,19300020,776,N,A,80.47937827
4787,4702,19300021,674,I,A,43.85944924
4788,4702,19300021,776,N,A,81.0184084
4789,4702,19300022,674,I,A,48.56768358
4790,4702,19300022,776,N,A,75.95591652
4791,4702,19300023,674,I,A,44.82068733
4792,4702,19300023,776,N,A,80.19087486
4793,4702,19318000,710,R,R,1.153690289
4794,4702,19318000,725,I,R,191.7683864
4795,4702,19318000,815,N,R,127.5360991
4796,4702,19318002,710,R,R,31.71757727
4797,4702,19318002,725,I,R,162.5972842
4798,4702,19318002,779,N,R,115.2109757
4799,4702,19318003,674,I,R,178.1150889
4800,4702,19318003,710,R,R,32.30503765
4801,4702,19318003,776,N,R,111.5690238
4802,4702,19318005,674,I,R,183.2632188
4803,4702,19318005,710,R,R,17.01048642
4804,4702,19318005,776,N,R,129.3669304
